source_file,source_path,標案案號,標案名稱,機關代碼,機關名稱,單位名稱,機關地址,聯絡人,聯絡電話,傳真號碼,電子郵件信箱,預算金額,預算_hidden,公告日,截止投標,開標時間,開標地點,案件狀態,決標廠商,決標日期,決標金額
detail_1.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_1.html,21141107,115年度臺南市公園綠地測量及無人機UVA輔助巡查開口契約,3.95.11,臺南市政府工務局,公園管理科一股,"708
				
				
				臺南市
				安平區
				永華路2段6號",張宥珍,"(06)
				
				
					2991111
				
				
					#8699","(06)
				
				
					2982806",yuchen88@mail.tainan.gov.tw,"441,239元",441239,114/11/19,114/12/02 12:00,114/12/02 15:00,臺南市政府地下一樓採購開標室（臺南市安平區永華路2段6號）,招標中,,,
detail_10.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_10.html,B114168,艦隊分署無人機模擬器採購案,A.47.1.7,海洋委員會海巡署艦隊分署,海洋委員會海巡署艦隊分署,"251
				
				
				新北市
				淡水區
				中正路一段63巷20號",鄭尹婷,"(02)
				
				
					28053990
				
				
					#362414","(02)
				
				
					28052655",N4051@cga.gov.tw,"778,750元",778750,114/11/12,114/11/19 17:00,114/11/20 14:30,本分署開標室(251新北市淡水區中正路一段63巷20號),招標中,,,
detail_100.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_100.html,114070,臺北市無人機教育中心114年度參訪活動,3.79.5.35,臺北市立木柵高級工業職業學校,臺北市立木柵高級工業職業學校總務處,"116
				
				
				臺北市
				文山區
				木柵路4段77號",李欣樺,"(02)
				
				
					22300506
				
				
					#602","(02)
				
				
					22395471",shinha@mcvs.tp.edu.tw,"295,000元",295000,114/10/02,114/10/08 17:00,114/10/09 13:30,116臺北市文山區木柵路4段77號總務處會議室,招標中,,,
detail_101.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_101.html,N114-042,多旋翼訓練用2公斤級無人機,A.47.1.1,海洋委員會海巡署北部分署,海洋委員會海巡署北部分署,"328
				
				
				桃園市
				觀音區
				崙坪里忠愛路一段45號",張辦事員,"(03)
				
				
					4080024
				
				
					#310212","(03)
				
				
					4980798",api0705@cga.gov.tw,"696,895元",696895,114/10/02,114/10/09 10:00,114/10/09 10:30,328桃園市觀音區崙坪里忠愛路一段45號(開標室),招標中,,,
detail_102.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_102.html,N114-042,多旋翼訓練用2公斤級無人機,A.47.1.1,海洋委員會海巡署北部分署,海洋委員會海巡署北部分署,"328
				
				
				桃園市
				觀音區
				崙坪里忠愛路一段45號",張辦事員,"(03)
				
				
					4080024
				
				
					#310212","(03)
				
				
					4980798",api0705@cga.gov.tw,"696,895元",696895,114/10/02,114/10/09 10:00,114/10/09 10:30,328桃園市觀音區崙坪里忠愛路一段45號(開標室),招標中,,,
detail_103.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_103.html,N114-040,多旋翼無人機測驗(訓練)場地設置,A.47.1.1,海洋委員會海巡署北部分署,海洋委員會海巡署北部分署,"328
				
				
				桃園市
				觀音區
				崙坪里忠愛路一段45號",李科員,"(03)
				
				
					4080024
				
				
					#310208","(03)
				
				
					4980798",chang-xuan@cga.gov.tw,"1,364,452元",1364452,114/09/30,114/10/08 10:00,114/10/08 10:30,328桃園市觀音區崙坪里忠愛路一段45號(開標室),招標中,,,
detail_104.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_104.html,N114-040,多旋翼無人機測驗(訓練)場地設置,A.47.1.1,海洋委員會海巡署北部分署,海洋委員會海巡署北部分署,"328
				
				
				桃園市
				觀音區
				崙坪里忠愛路一段45號",李科員,"(03)
				
				
					4080024
				
				
					#310208","(03)
				
				
					4980798",chang-xuan@cga.gov.tw,"1,364,452元",1364452,114/09/30,114/10/08 10:00,114/10/08 10:30,328桃園市觀音區崙坪里忠愛路一段45號(開標室),招標中,,,
detail_105.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_105.html,114EG66600000000820,巨輪校區遙控無人機室內訓練場地整修工程,3.5.49.1,空軍航空技術學院,空軍航空技術學院,"820
				
				
				高雄市
				岡山區
				介壽西路198號",吳先生,"(07)
				
				
					6254141
				
				
					#978144","(07)
				
				
					6257270",purchase07@mail.mil.tw,"3,291,480元",3291480,114/09/24,114/09/30 17:00,114/10/01 09:00,820高雄市岡山區介壽西路198號,招標中,,,
detail_106.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_106.html,114EG66600000000820,巨輪校區遙控無人機室內訓練場地整修工程,3.5.49.1,空軍航空技術學院,空軍航空技術學院,"820
				
				
				高雄市
				岡山區
				介壽西路198號",吳先生,"(07)
				
				
					6254141
				
				
					#978144","(07)
				
				
					6257270",purchase07@mail.mil.tw,"3,291,480元",3291480,114/09/24,114/09/30 17:00,114/10/01 09:00,820高雄市岡山區介壽西路198號,招標中,,,
detail_107.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_107.html,114CF21,114年度「購置AI熱顯像無人機1套」,3.1.1.2,內政部警政署刑事警察局,後勤科,"110
				
				
				臺北市
				信義區
				北市忠孝東路四段五五三巷五號",何季昉,"(02)
				
				
					27650431","(02)
				
				
					27530872",lw841304@cib.npa.gov.tw,"1,200,000元",1200000,114/09/24,114/10/07 17:00,114/10/08 14:00,本局科技大樓13樓開標室,招標中,,,
detail_108.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_108.html,114CF21,114年度「購置AI熱顯像無人機1套」,3.1.1.2,內政部警政署刑事警察局,後勤科,"110
				
				
				臺北市
				信義區
				北市忠孝東路四段五五三巷五號",何季昉,"(02)
				
				
					27650431","(02)
				
				
					27530872",lw841304@cib.npa.gov.tw,"1,200,000元",1200000,114/09/24,114/10/07 17:00,114/10/08 14:00,本局科技大樓13樓開標室,招標中,,,
detail_109.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_109.html,B14A00314,捷運廠站空調冷卻水塔散熱材更換工作,3.79.62,臺北大眾捷運股份有限公司,供應處,"104
				
				
				臺北市
				中山區
				中山北路2段48巷7號2樓",電機處環控廠廠本部  張鴻霖,"(02)
				
				
					25505600
				
				
					#3759","(02)
				
				
					25118971",e24286@metro.taipei,"4,904,424元",4904424,114/09/22,114/09/26 17:00,114/09/30 15:30,本機關4樓開標室,招標中,,,
detail_11.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_11.html,FV14022P022,114年無人機採購案,A.5.11.2,陸軍專科學校,陸軍專科學校,"320
				
				
				桃園市
				中壢區
				中堅里3鄰龍東路750號",劉奕孝,"(03)
				
				
					4664600
				
				
					#345109","(03)
				
				
					4361609",h124016437@gmail.com,"3,053,000元",3053000,114/11/10,114/11/20 17:00,114/11/21 10:00,320桃園市中壢區中堅里3鄰龍東路750號,招標中,,,
detail_110.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_110.html,B14A00314,捷運廠站空調冷卻水塔散熱材更換工作,3.79.62,臺北大眾捷運股份有限公司,供應處,"104
				
				
				臺北市
				中山區
				中山北路2段48巷7號2樓",電機處環控廠廠本部  張鴻霖,"(02)
				
				
					25505600
				
				
					#3759","(02)
				
				
					25118971",e24286@metro.taipei,"4,904,424元",4904424,114/09/22,114/09/26 17:00,114/09/30 15:30,本機關4樓開標室,招標中,,,
detail_111.html,F:\Drone_Tender_Reptile\pcc_results_selenium\detail_111.html,TSAA11406,松山機場無人機防制基座設施工程(第2標),3.15.6.2,交通部民用航空局臺北國際航空站,工務組,"105
				
				
				臺北市
				松山區
				敦化北路340之9號",蔡先生,"(02)
				
				
					87703485","(02)
				
				
					87703544",me3703@tsa.gov.tw,"5,990,895元",5990895,114/09/19,114/09/23 17:00,114/09/24 09:00,105臺北市松山區敦化北路340之9號,招標中,,,
